Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,NumberOfWindows,Claim,Occupancy_Period
1.0,0,N,V,V,U,600.0,type1,no data,0,24
0.99726776,0,N,V,V,U,2000.0,type1,no data,0,28
1.0,0,N,V,V,U,1000.0,type1,no data,0,24
1.0,0,N,V,V,U,1000.0,type1,no data,0,25
0.99726776,0,N,V,V,U,1000.0,type1,no data,0,28
1.0,0,V,V,V,U,1650.0,type1,no data,0,36
1.0,0,V,V,V,U,850.0,type1,no data,0,32
1.0,0,V,V,V,U,850.0,type1,no data,0,35
0.99726776,0,V,V,V,U,2600.0,type1,no data,0,28
1.0,0,N,V,V,U,3500.0,type1,no data,1,25
1.0,0,N,V,V,U,260.0,type1,no data,0,26
1.0,0,V,N,O,R,530.0,type1,less than 5,0,16
1.0,0,V,N,O,R,4700.0,type1,greater than 5,1,44
1.0,1,N,V,V,U,838.0,type1,no data,0,55
1.0,0,N,V,V,U,1728.0,type1,no data,0,25
1.0,0,V,V,V,U,1024.0,type1,no data,0,53
1.0,0,V,N,O,R,1440.0,type1,greater than 5,0,30
1.0,0,V,V,V,U,300.0,type1,no data,0,32
0.0,0,V,V,V,U,1700.0,type1,no data,0,32
0.0,0,V,V,V,U,1700.0,type1,no data,0,36
1.0,0,V,N,O,R,3688.0,type1,greater than 10,1,35
1.0,0,V,N,O,R,900.0,type1,greater than 5,0,43
1.0,0,V,V,V,U,3000.0,type1,no data,0,33
1.0,0,V,N,O,R,1170.0,type1,greater than 5,0,41
0.99726776,0,V,N,O,R,2976.0,type1,greater than 5,0,51
1.0,0,V,V,V,U,4101.0,type1,no data,0,25
1.0,0,V,N,O,R,800.0,type4,less than 5,0,64
0.99726776,0,V,N,O,R,3100.0,type4,greater than 5,0,35
0.99726776,0,V,N,O,R,320.0,type4,less than 5,0,45
0.781420765,0,V,N,O,R,2490.0,type4,greater than 5,1,44
0.99726776,0,V,N,O,R,1670.0,type4,greater than 5,0,41
1.0,0,V,V,V,U,900.0,type4,no data,0,53
1.0,0,V,N,O,R,460.0,type4,greater than 5,0,72
0.99726776,0,V,N,O,R,3500.0,type4,less than 5,0,116
1.0,0,N,V,V,U,14.0,type4,no data,0,26
0.915068493,0,N,V,V,U,9570.0,type4,no data,0,54
1.0,0,V,N,O,R,1200.0,type4,less than 5,0,15
1.0,0,N,V,V,U,10.0,type4,no data,0,25
1.0,0,V,N,O,R,570.0,type4,less than 5,0,24
0.99726776,0,V,N,O,R,3522.0,type4,less than 5,0,13
1.0,0,V,N,O,R,650.0,type4,less than 5,0,23
0.98630137,0,V,N,O,R,650.0,type4,less than 5,0,25
1.0,1,V,N,O,R,4112.0,type4,greater than 5,1,48
1.0,0,V,N,O,R,4112.0,type4,greater than 5,0,54
0.99726776,0,V,N,O,R,1470.0,type4,greater than 5,0,46
1.0,0,N,V,V,U,600.0,type4,no data,0,55
0.99726776,0,N,V,V,U,600.0,type4,no data,1,56
1.0,1,N,V,V,U,380.0,type4,no data,0,53
0.084931507,0,N,V,V,U,460.0,type4,no data,0,53
1.0,0,N,V,V,U,5419.0,type4,no data,1,24
1.0,0,N,V,V,U,5419.0,type4,no data,1,28
1.0,1,V,N,O,R,2800.0,type4,greater than 5,1,72
1.0,1,V,N,O,R,2800.0,type4,greater than 5,0,75
0.99726776,1,V,N,O,R,2800.0,type4,greater than 5,0,76
1.0,1,V,N,O,R,450.0,type4,less than 5,0,92
1.0,1,V,N,O,R,1380.0,type4,greater than 5,0,54
1.0,0,V,N,O,R,428.0,type4,less than 5,0,82
1.0,1,V,N,O,R,1000.0,type4,greater than 5,0,75
1.0,1,V,N,O,R,1100.0,type4,greater than 5,0,92
0.161643836,1,V,N,O,R,520.0,type4,greater than 5,0,42
1.0,1,V,N,O,R,300.0,type4,less than 5,1,93
1.0,1,V,N,O,R,300.0,type4,less than 5,0,95
1.0,1,V,N,O,R,300.0,type4,less than 5,0,96
1.0,1,V,N,O,R,3250.0,type4,greater than 5,1,21
1.0,1,V,N,O,R,1000.0,type4,greater than 5,0,39
1.0,1,V,N,O,R,660.0,type4,greater than 5,1,92
1.0,1,V,N,O,R,300.0,type4,less than 5,0,95
1.0,1,V,N,O,R,550.0,type4,greater than 5,0,82
1.0,1,V,N,O,R,550.0,type4,greater than 5,1,84
1.0,0,V,N,O,R,1255.0,type4,greater than 5,1,94
0.997260274,0,V,N,O,R,1255.0,type4,greater than 5,0,95
1.0,0,V,N,O,R,5610.0,type4,greater than 5,1,94
0.095890411,1,V,N,O,R,1800.0,type4,greater than 5,0,50
0.99726776,1,V,N,O,R,1800.0,type4,greater than 5,0,51
1.0,1,V,N,O,R,500.0,type4,less than 5,0,73
1.0,0,N,V,V,U,1500.0,type4,no data,1,34
1.0,0,V,N,O,R,1850.0,type4,less than 5,0,63
1.0,1,N,V,V,U,950.0,type4,no data,1,55
1.0,1,N,V,V,U,340.0,type4,no data,0,52
1.0,1,N,V,V,U,340.0,type4,no data,0,55
0.997260274,0,V,N,O,R,997.0,type4,less than 5,0,55
1.0,1,V,N,O,R,3336.0,type4,greater than 5,0,43
1.0,0,V,N,O,R,3270.0,type4,greater than 5,1,33
1.0,0,V,N,O,R,3270.0,type4,greater than 5,0,35
0.665753425,0,N,V,V,U,300.0,type4,no data,0,53
1.0,1,N,V,V,U,2235.0,type4,no data,0,52
1.0,0,N,V,V,U,1400.0,type4,no data,0,32
1.0,1,V,N,O,R,5586.0,type4,greater than 5,0,37
1.0,1,V,N,O,R,5586.0,type4,greater than 5,0,38
1.0,0,V,N,O,R,800.0,type4,less than 5,1,47
0.893150685,0,N,V,V,U,300.0,type4,no data,0,53
1.0,0,N,V,V,U,4310.0,type4,no data,1,53
1.0,0,N,V,V,U,2160.0,type4,no data,1,32
1.0,0,V,N,O,R,650.0,type4,less than 5,1,55
1.0,0,V,N,O,R,210.0,type4,less than 5,0,85
1.0,0,V,N,O,R,7063.0,type4,greater than 5,1,60
1.0,0,V,N,O,R,1696.0,type4,greater than 5,0,6
1.0,0,V,N,O,R,740.0,type4,less than 5,0,75
0.024590164,1,V,N,O,R,3300.0,type4,less than 5,0,59
1.0,0,V,N,O,R,350.0,type4,less than 5,0,53
1.0,1,V,V,V,U,400.0,type4,no data,0,32
0.0,0,V,V,V,U,1000.0,type4,no data,1,54
0.893150685,0,V,V,V,U,162.0,type4,no data,0,55
1.0,0,N,V,V,U,320.0,type4,no data,0,54
0.99726776,0,N,V,V,U,320.0,type4,no data,0,56
0.580821918,1,V,V,V,U,18000.0,type4,no data,1,35
1.0,0,V,V,V,U,1225.0,type4,no data,1,52
1.0,0,N,V,V,U,400.0,type4,no data,0,55
0.832876712,0,N,V,V,U,270.0,type4,no data,0,33
1.0,0,V,N,O,R,740.0,type4,less than 5,0,42
1.0,0,V,N,O,R,1150.0,type4,less than 5,0,34
1.0,0,V,N,O,R,4200.0,type4,less than 5,1,27
0.260273973,0,V,N,O,R,100.0,type4,less than 5,0,215
0.747945205,1,N,V,V,U,900.0,type4,no data,0,25
1.0,1,N,V,V,U,9920.0,type4,no data,1,32
1.0,0,V,V,V,U,2625.0,type4,no data,0,35
1.0,0,V,N,O,R,5350.0,type4,greater than 5,0,6
0.915068493,1,V,V,V,U,270.0,type4,no data,0,54
1.0,0,N,V,V,U,3406.0,type4,no data,0,24
1.0,0,V,N,O,R,3700.0,type4,greater than 5,1,27
1.0,0,V,N,O,R,3700.0,type4,greater than 5,1,30
0.418032787,0,V,N,O,R,3369.0,type4,less than 5,0,3
1.0,0,V,N,O,R,3369.0,type4,less than 5,1,4
1.0,0,V,N,O,R,3369.0,type4,less than 5,1,5
0.104109589,0,V,V,V,U,4846.0,type4,no data,0,33
1.0,0,V,V,V,U,7887.0,type4,no data,1,34
1.0,0,V,V,V,U,1300.0,type4,no data,1,33
0.769863014,0,V,V,V,U,1300.0,type4,no data,0,34
1.0,1,V,N,O,R,4000.0,type4,less than 5,1,33
1.0,1,V,N,O,R,4000.0,type4,less than 5,0,34
1.0,0,V,N,O,R,171.0,type4,less than 5,1,83
1.0,0,V,N,O,R,171.0,type4,less than 5,0,85
1.0,0,V,N,O,R,570.0,type4,less than 5,0,53
1.0,0,N,V,V,U,65.0,type4,no data,0,54
0.99726776,0,V,N,O,R,367.0,type4,less than 5,0,31
1.0,1,N,V,V,U,200.0,type4,no data,1,53
1.0,1,N,V,V,U,400.0,type4,no data,1,52
1.0,0,N,V,V,U,400.0,type4,no data,0,33
1.0,0,N,V,V,U,400.0,type4,no data,0,36
1.0,0,V,N,O,R,400.0,type4,less than 5,0,72
1.0,0,V,N,O,R,400.0,type4,less than 5,0,76
1.0,0,V,N,O,R,400.0,type4,less than 5,0,92
1.0,0,V,N,O,R,6300.0,type4,greater than 5,1,37
1.0,0,V,N,O,R,250.0,type4,greater than 5,0,122
1.0,0,V,N,O,R,750.0,type4,less than 5,0,114
0.024657534,0,V,V,V,U,400.0,type4,no data,0,53
1.0,0,V,N,O,R,660.0,type4,greater than 5,1,66
1.0,0,V,N,O,R,1100.0,type4,less than 5,0,35
1.0,0,V,N,O,R,530.0,type4,greater than 5,0,64
1.0,0,V,N,O,R,3269.0,type4,less than 5,0,37
1.0,0,V,N,O,R,3269.0,type4,less than 5,1,39
1.0,0,V,N,O,R,3269.0,type4,less than 5,0,40
0.0,0,N,V,V,U,300.0,type4,no data,0,53
1.0,0,V,N,O,R,640.0,type4,less than 5,0,62
1.0,0,N,V,V,U,530.0,type4,no data,0,35
1.0,0,V,N,O,R,450.0,type4,less than 5,0,53
1.0,0,V,N,O,R,3800.0,type4,greater than 5,0,53
0.476712329,1,V,N,O,R,1140.0,type4,less than 5,1,26
1.0,0,V,N,O,R,400.0,type4,greater than 5,0,53
1.0,0,N,V,V,U,130.0,type4,no data,0,52
1.0,0,N,V,V,U,243.0,type4,no data,0,52
0.865753425,0,N,V,V,U,243.0,type4,no data,0,53
1.0,1,V,V,V,U,2106.0,type4,no data,1,32
1.0,1,N,V,V,U,1842.0,type4,no data,0,25
0.554644809,1,V,V,V,U,2713.0,type4,no data,0,32
1.0,0,V,N,O,R,500.0,type4,greater than 5,0,65
1.0,0,N,V,V,U,614.0,type4,no data,0,32
1.0,0,V,N,O,R,1370.0,type4,greater than 5,0,6
1.0,0,V,N,O,R,1370.0,type4,greater than 5,0,7
1.0,0,N,V,V,U,430.0,type4,no data,0,55
1.0,0,N,V,V,U,1563.0,type4,no data,0,34
1.0,0,N,V,V,U,250.0,type4,no data,0,53
0.832876712,0,N,V,V,U,1350.0,type4,no data,0,33
1.0,0,N,V,V,U,480.0,type4,no data,0,54
1.0,0,N,V,V,U,480.0,type4,no data,0,55
1.0,0,N,V,V,U,1600.0,type4,no data,0,54
1.0,0,N,V,V,U,5800.0,type4,no data,1,26
0.99726776,0,V,N,O,R,1000.0,type4,greater than 5,0,44
0.084931507,0,V,N,O,R,2000.0,type4,greater than 5,0,43
0.99726776,0,V,N,O,R,2880.0,type4,greater than 5,1,46
1.0,0,V,N,O,R,3343.0,type4,greater than 5,0,45
1.0,0,V,N,O,R,10573.0,type4,greater than 5,0,42
1.0,1,V,V,V,U,1853.0,type4,no data,0,25
0.163934426,1,V,N,O,R,5939.0,type4,greater than 5,0,29
1.0,0,V,N,O,R,518.0,type4,less than 5,1,6
1.0,0,V,N,O,R,3120.0,type4,less than 5,0,15
1.0,0,V,N,O,R,3120.0,type4,less than 5,1,16
1.0,0,V,N,O,R,450.0,type4,greater than 5,0,94
1.0,0,V,N,O,R,12900.0,type4,greater than 5,0,44
1.0,0,V,N,O,R,12900.0,type4,greater than 5,1,46
1.0,0,V,N,O,R,450.0,type4,less than 5,0,55
1.0,0,V,N,O,R,1300.0,type4,greater than 5,1,52
1.0,0,V,N,O,R,254.0,type4,less than 5,1,112
1.0,0,V,N,O,R,1050.0,type4,less than 5,0,53
1.0,0,V,N,O,R,4500.0,type4,greater than 5,0,2
1.0,0,V,N,O,R,700.0,type4,less than 5,1,54
0.448087432,1,V,N,O,R,2712.0,type4,greater than 5,0,42
1.0,1,V,N,O,R,2712.0,type4,greater than 5,0,45
1.0,0,V,N,O,R,300.0,type4,less than 5,0,93
0.50273224,1,V,N,O,R,1120.0,type4,less than 5,0,5
1.0,0,V,N,O,R,5598.0,type4,greater than 5,1,34
0.99726776,0,V,N,O,R,4500.0,type4,greater than 5,1,36
0.75136612,1,V,N,O,R,2659.0,type4,greater than 5,0,54
0.50273224,1,V,N,O,R,450.0,type4,less than 5,0,116
0.081967213,1,V,N,O,R,300.0,type4,less than 5,0,116
1.0,0,V,N,O,R,500.0,type4,less than 5,0,82
0.99726776,0,V,V,V,U,1619.0,type4,no data,0,36
1.0,0,V,V,V,U,826.0,type4,no data,1,32
0.99726776,0,V,V,V,U,826.0,type4,no data,0,36
1.0,0,V,V,V,U,1365.0,type4,no data,0,54
1.0,0,V,N,O,R,184.0,type4,less than 5,0,52
1.0,0,V,N,O,R,970.0,type4,less than 5,0,64
1.0,0,V,V,V,U,686.0,type4,no data,0,55
1.0,0,V,N,O,R,900.0,type4,greater than 5,0,58
1.0,0,V,N,O,R,3508.0,type4,greater than 5,1,38
1.0,0,V,V,V,U,2900.0,type4,no data,1,52
1.0,0,V,V,V,U,2900.0,type4,no data,1,53
0.99726776,0,V,V,V,U,6984.0,type4,no data,0,36
1.0,0,V,N,O,R,2034.0,type4,greater than 5,0,43
1.0,0,N,V,V,U,7223.0,type4,no data,0,34
1.0,0,V,V,V,U,9400.0,type4,no data,1,55
1.0,0,V,V,V,U,4286.0,type4,no data,1,54
1.0,0,V,V,V,U,1700.0,type4,no data,0,52
1.0,0,V,V,V,U,1500.0,type4,no data,1,35
1.0,0,V,N,O,R,8400.0,type4,greater than 5,1,34
1.0,0,N,V,V,U,300.0,type4,no data,0,33
1.0,0,V,V,V,U,4176.0,type4,no data,0,24
1.0,0,V,V,V,U,4176.0,type4,no data,0,25
1.0,0,V,N,O,R,3400.0,type4,greater than 5,1,53
0.997260274,0,V,N,O,R,500.0,type4,less than 5,1,53
1.0,0,V,N,O,R,500.0,type4,less than 5,0,56
1.0,0,V,N,O,R,3501.0,type4,greater than 5,0,33
1.0,1,V,V,V,U,1325.0,type4,no data,0,33
1.0,1,V,V,V,U,1325.0,type4,no data,1,34
1.0,0,V,N,O,R,9500.0,type4,greater than 5,1,22
1.0,0,V,V,V,U,20.0,type4,no data,0,25
1.0,0,V,V,V,U,20.0,type4,no data,0,27
1.0,0,V,N,O,R,441.0,type4,less than 5,0,56
1.0,0,V,N,O,R,1137.0,type4,greater than 5,1,52
1.0,1,N,V,V,U,250.0,type4,no data,0,55
1.0,1,N,V,V,U,418.0,type4,no data,0,54
1.0,0,N,V,V,U,860.0,type4,no data,0,36
0.468493151,0,N,V,V,U,500.0,type4,no data,0,55
0.797260274,0,V,V,V,U,3873.0,type4,no data,0,26
1.0,0,V,N,O,R,3708.0,type4,greater than 5,0,42
1.0,0,V,N,O,R,700.0,type4,greater than 5,1,38
1.0,0,V,V,V,U,7300.0,type4,no data,1,33
1.0,1,N,V,V,U,1080.0,type4,no data,0,55
1.0,0,V,N,O,R,1446.0,type4,less than 5,1,65
1.0,1,N,V,V,U,357.0,type4,no data,0,54
1.0,0,V,N,O,R,2230.0,type4,greater than 5,0,56
1.0,0,V,N,O,R,1500.0,type4,greater than 5,0,116
1.0,0,V,V,V,U,4700.0,type4,no data,1,33
1.0,0,V,N,O,R,3757.0,type4,less than 5,1,54
1.0,0,V,V,V,U,3043.0,type4,no data,0,34
0.99726776,0,N,V,V,U,317.0,type4,no data,0,36
1.0,1,N,V,V,U,1702.0,type4,no data,0,52
1.0,0,V,V,V,U,860.0,type4,no data,1,32
1.0,0,N,V,V,U,400.0,type4,no data,0,32
0.315068493,0,V,N,O,R,3450.0,type4,greater than 5,0,10
1.0,0,V,V,V,U,3510.0,type4,no data,1,33
1.0,0,V,V,V,U,1565.0,type4,no data,0,52
1.0,0,V,N,O,R,4300.0,type4,greater than 5,1,72
0.99726776,0,V,N,O,R,4300.0,type4,greater than 5,0,76
1.0,0,V,N,O,R,6650.0,type4,greater than 5,1,102
1.0,0,V,N,O,R,6650.0,type4,greater than 5,1,103
1.0,1,N,V,V,U,1500.0,type4,no data,0,55
0.99726776,0,V,N,O,R,2857.0,type4,greater than 5,1,66
1.0,0,V,V,V,U,1178.0,type4,no data,0,33
1.0,0,N,V,V,U,5785.0,type4,no data,1,33
1.0,0,V,V,V,U,260.0,type4,no data,0,34
1.0,0,V,V,V,U,60.0,type4,no data,0,24
1.0,0,V,N,O,R,400.0,type4,less than 5,0,31
1.0,1,N,V,V,U,279.0,type4,no data,0,33
0.594520548,1,N,V,V,U,1196.0,type4,no data,0,33
1.0,1,N,V,V,U,670.0,type4,no data,1,32
1.0,0,V,N,O,R,1984.0,type4,greater than 5,1,60
1.0,1,N,V,V,U,450.0,type4,no data,0,54
1.0,0,N,V,V,U,234.0,type4,no data,0,52
1.0,1,V,N,O,R,4400.0,type4,greater than 5,1,47
1.0,1,V,N,O,R,4400.0,type4,greater than 5,1,48
1.0,1,V,N,O,R,412.0,type4,less than 5,0,54
1.0,1,V,N,O,R,412.0,type4,less than 5,0,55
1.0,0,N,V,V,U,600.0,type4,no data,0,34
1.0,0,V,N,O,R,1980.0,type4,less than 5,1,52
1.0,0,N,V,V,U,870.0,type4,no data,0,54
1.0,0,V,N,O,R,2100.0,type4,greater than 5,1,44
1.0,0,V,N,O,R,12721.0,type4,greater than 5,1,53
1.0,0,V,N,O,R,12721.0,type4,greater than 5,1,55
0.99726776,0,V,N,O,R,12721.0,type4,greater than 5,0,56
1.0,1,N,V,V,U,1260.0,type4,no data,0,32
1.0,1,V,N,O,R,520.0,type4,less than 5,1,52
0.74863388,0,N,V,V,U,1930.0,type4,no data,0,52
0.99726776,0,N,V,V,U,3070.0,type4,no data,1,36
1.0,0,N,V,V,U,4600.0,type4,no data,1,52
0.0,0,N,V,V,U,4600.0,type4,no data,0,53
0.99726776,1,N,V,V,U,1000.0,type4,no data,1,36
0.175342466,0,N,V,V,U,3500.0,type4,no data,0,25
1.0,1,V,N,O,R,2205.0,type4,greater than 5,1,22
0.161643836,1,V,N,O,R,1000.0,type4,less than 5,0,114
1.0,1,V,N,O,R,2110.0,type4,greater than 5,0,9
1.0,1,V,N,O,R,2110.0,type4,greater than 5,0,10
1.0,1,V,N,O,R,2110.0,type4,greater than 5,1,11
1.0,1,V,N,O,R,1630.0,type4,greater than 5,0,43
1.0,1,V,N,O,R,1628.0,type4,greater than 5,1,59
0.117808219,1,V,N,O,R,1350.0,type4,greater than 5,0,54
1.0,0,V,N,O,R,332.0,type4,less than 5,0,114
1.0,0,V,N,O,R,332.0,type4,less than 5,1,116
1.0,1,V,N,O,R,1825.0,type4,greater than 5,0,80
1.0,1,V,N,O,R,6600.0,type4,less than 5,1,47
1.0,0,V,N,O,R,8265.0,type4,greater than 5,1,54
1.0,1,V,N,O,R,10600.0,type4,greater than 5,1,46
1.0,0,V,N,O,R,3510.0,type4,less than 5,1,41
0.0,1,V,N,O,R,8000.0,type4,greater than 5,1,43
1.0,1,V,N,O,R,3780.0,type4,greater than 5,1,61
1.0,1,V,N,O,R,3780.0,type4,greater than 5,1,62
1.0,1,V,N,O,R,3780.0,type4,greater than 5,1,63
0.120547945,0,V,N,O,R,2471.0,type4,greater than 5,0,4
1.0,1,V,N,O,R,1908.0,type4,greater than 5,0,92
0.99726776,1,V,N,O,R,490.0,type4,less than 5,1,116
1.0,1,V,N,O,R,15000.0,type4,greater than 5,1,48
0.915068493,1,V,N,O,R,15000.0,type4,greater than 5,1,50
1.0,1,V,N,O,R,12470.0,type4,greater than 5,1,38
1.0,0,V,N,O,R,395.0,type4,less than 5,0,93
0.99726776,0,V,N,O,R,395.0,type4,less than 5,0,96
0.495890411,1,V,N,O,R,12961.0,type4,greater than 5,0,7
0.0,0,V,N,O,R,350.0,type4,less than 5,0,112
0.0,0,V,N,O,R,350.0,type4,less than 5,0,113
0.0,0,V,N,O,R,350.0,type4,less than 5,0,114
0.915300546,0,V,N,O,R,280.0,type4,less than 5,1,72
0.084931507,0,V,N,O,R,280.0,type4,less than 5,0,74
1.0,0,V,N,O,R,2600.0,type4,less than 5,0,34
1.0,0,V,V,V,U,630.0,type4,no data,0,54
0.0,0,V,N,O,R,520.0,type4,less than 5,0,62
1.0,0,V,N,O,R,474.0,type4,less than 5,0,115
1.0,1,V,N,O,R,800.0,type4,greater than 5,1,114
1.0,1,V,N,O,R,800.0,type4,greater than 5,0,19
0.480874317,1,V,N,O,R,1315.0,type4,greater than 5,0,112
0.780821918,1,V,N,O,R,3100.0,type4,greater than 5,1,59
0.99726776,0,V,N,O,R,3112.0,type4,greater than 5,1,70
0.99726776,0,N,V,V,U,750.0,type4,no data,0,56
0.99726776,0,V,N,O,R,240.0,type4,less than 5,0,62
1.0,0,V,N,O,R,2374.0,type4,less than 5,0,2
0.747945205,0,V,N,O,R,200.0,type4,less than 5,0,20
1.0,0,N,V,V,U,1620.0,type4,no data,1,33
0.99726776,0,V,N,O,R,7291.0,type4,greater than 5,1,116
1.0,1,V,V,V,U,11547.0,type4,no data,1,33
1.0,0,V,N,O,R,1500.0,type4,greater than 5,0,38
1.0,1,V,V,V,U,1800.0,type4,no data,0,52
1.0,1,V,V,V,U,1800.0,type4,no data,0,54
1.0,1,V,V,V,U,5385.0,type4,no data,1,32
0.0,1,V,V,V,U,3482.0,type4,no data,0,55
1.0,1,V,V,V,U,1572.0,type4,no data,0,33
0.0,0,V,V,V,U,200.0,type4,no data,0,52
0.0,0,V,V,V,U,600.0,type4,no data,0,55
0.0,1,V,V,V,U,400.0,type4,no data,0,54
1.0,0,V,V,V,U,700.0,type4,no data,0,53
1.0,1,V,V,V,U,1400.0,type4,no data,1,33
1.0,1,V,V,V,U,1400.0,type4,no data,0,35
1.0,0,V,N,O,R,5266.0,type4,greater than 5,0,43
1.0,1,V,N,O,R,1874.0,type4,greater than 5,0,58
0.0,1,V,V,V,U,4288.0,type4,no data,1,53
1.0,1,V,V,V,U,1125.0,type4,no data,0,32
0.021917808,1,V,V,V,U,1125.0,type4,no data,0,34
0.997260274,1,V,N,O,R,820.0,type4,less than 5,0,95
0.99726776,0,V,N,O,R,1248.0,type4,greater than 5,1,66
0.0,1,V,V,V,U,685.0,type4,no data,1,52
0.0,1,V,V,V,U,685.0,type4,no data,0,55
1.0,1,V,N,O,R,3732.0,type4,greater than 5,1,85
1.0,1,V,N,O,R,1425.0,type4,greater than 5,1,53
1.0,1,V,N,O,R,1425.0,type4,greater than 5,0,56
1.0,0,V,N,O,R,1000.0,type4,greater than 5,0,66
0.0,0,N,V,V,U,700.0,type4,no data,0,53
1.0,0,V,N,O,R,952.0,type4,greater than 5,0,45
1.0,0,V,N,O,R,400.0,type4,less than 5,0,65
0.99726776,0,V,N,O,R,400.0,type4,less than 5,0,66
1.0,0,N,V,V,U,400.0,type4,no data,0,33
1.0,0,N,V,V,U,400.0,type4,no data,0,34
1.0,1,N,V,V,U,4590.0,type4,no data,0,32
1.0,0,V,N,O,R,1155.0,type4,greater than 5,1,32
