,Building Dimension,YearOfObservation,Insured_Period_Equal to 1,Residential,Painted,Fenced,Garden,Rural,Building_Type,Date_of_Occupancy_Between 1500 & 1600,Date_of_Occupancy_Between 1600 & 1700,Date_of_Occupancy_Between 1700 & 1800,Date_of_Occupancy_Between 1800 & 1900,Date_of_Occupancy_Between 1900 & 2000,NumberOfWindows_<5,NumberOfWindows_>=5 & <10,NumberOfWindows_>=10,Claim
103,320.0,2016,0,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
104,2490.0,2016,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
105,1670.0,2016,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
106,900.0,2013,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
107,460.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
108,3500.0,2016,0,0,0,1,0,1,4,0,0,0,1,0,1,0,0,0
109,14.0,2014,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
110,9570.0,2014,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
111,1200.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
112,10.0,2013,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
113,570.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
114,3522.0,2016,0,0,0,1,0,1,4,0,0,0,0,0,1,0,0,0
115,650.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
116,650.0,2015,0,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
117,4112.0,2013,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,1
118,4112.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
119,1470.0,2016,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
120,600.0,2015,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
121,600.0,2016,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,1
122,380.0,2013,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0
123,460.0,2013,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
124,5419.0,2012,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,1
125,5419.0,2016,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,1
126,2800.0,2012,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,1
127,2800.0,2015,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
128,2800.0,2016,0,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
129,450.0,2012,1,1,0,1,0,1,4,0,0,0,0,1,1,0,0,0
130,1380.0,2014,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
131,428.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
132,1000.0,2015,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
133,1100.0,2012,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
134,520.0,2015,0,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
135,300.0,2013,1,1,0,1,0,1,4,0,0,0,0,1,1,0,0,1
136,300.0,2015,1,1,0,1,0,1,4,0,0,0,0,1,1,0,0,0
137,300.0,2016,1,1,0,1,0,1,4,0,0,0,0,1,1,0,0,0
138,3250.0,2012,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,1
139,1000.0,2013,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
140,660.0,2012,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,1
141,300.0,2015,1,1,0,1,0,1,4,0,0,0,0,1,1,0,0,0
142,550.0,2012,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
143,550.0,2014,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,1
144,1255.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
145,1255.0,2015,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
146,5610.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
147,1800.0,2015,0,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
148,1800.0,2016,0,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
149,500.0,2013,1,1,0,1,0,1,4,0,0,0,0,1,1,0,0,0
150,1500.0,2014,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,1
151,1850.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
152,950.0,2015,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,1
153,340.0,2012,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0
154,340.0,2015,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0
155,997.0,2015,0,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
156,3336.0,2013,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
157,3270.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
158,3270.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
159,300.0,2013,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
160,2235.0,2012,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0
161,1400.0,2012,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
162,5586.0,2015,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
163,5586.0,2016,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
164,800.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,1
165,300.0,2013,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
166,4310.0,2013,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,1
167,2160.0,2012,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,1
168,650.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,1
169,210.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
170,7063.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
171,1696.0,2013,1,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0
172,740.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
173,3300.0,2016,0,1,0,1,0,1,4,0,0,0,0,1,1,0,0,0
174,350.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
175,400.0,2012,1,1,0,0,1,0,4,0,0,0,0,1,0,0,0,0
176,1000.0,2014,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
177,162.0,2015,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
178,320.0,2014,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
179,320.0,2016,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
180,18000.0,2015,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,1
181,1225.0,2012,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
182,400.0,2015,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
183,270.0,2013,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
184,740.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
185,1150.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
186,4200.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,1
187,100.0,2015,0,0,0,1,0,1,4,0,0,1,0,0,1,0,0,0
188,900.0,2013,0,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0
189,9920.0,2012,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,1
190,2625.0,2015,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
191,5350.0,2013,1,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0
192,270.0,2014,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,0
193,3406.0,2012,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
194,3700.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
195,3700.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
196,3369.0,2012,0,0,0,1,0,1,4,0,0,0,0,0,1,0,0,0
197,3369.0,2013,1,0,0,1,0,1,4,0,0,0,0,0,1,0,0,1
198,3369.0,2014,1,0,0,1,0,1,4,0,0,0,0,0,1,0,0,1
199,4846.0,2013,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
200,7887.0,2014,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
201,1300.0,2013,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
202,1300.0,2014,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
203,4000.0,2013,1,1,0,1,0,1,4,0,0,0,0,1,1,0,0,1
204,4000.0,2014,1,1,0,1,0,1,4,0,0,0,0,1,1,0,0,0
205,171.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,1
206,171.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
207,570.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
208,65.0,2014,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
209,367.0,2016,0,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
210,200.0,2013,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,1
211,400.0,2012,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,1
212,400.0,2013,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
213,400.0,2016,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
214,400.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
215,400.0,2016,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
216,400.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
217,6300.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
218,250.0,2012,1,0,0,1,0,1,4,0,0,0,1,0,0,1,0,0
219,750.0,2014,1,0,0,1,0,1,4,0,0,0,1,0,1,0,0,0
220,400.0,2013,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
221,660.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
222,1100.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
223,530.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
224,3269.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
225,3269.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,1
226,3269.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
227,300.0,2013,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
228,640.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
229,530.0,2015,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
230,450.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
231,3800.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
232,1140.0,2014,0,1,0,1,0,1,4,0,0,0,0,1,1,0,0,1
233,400.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
234,130.0,2012,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
235,243.0,2012,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
236,243.0,2013,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
237,2106.0,2012,1,1,0,0,1,0,4,0,0,0,0,1,0,0,0,1
238,1842.0,2013,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0
239,2713.0,2012,0,1,0,0,1,0,4,0,0,0,0,1,0,0,0,0
240,500.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
241,614.0,2012,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
242,1370.0,2014,1,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0
243,1370.0,2015,1,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0
244,430.0,2015,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
245,1563.0,2014,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
246,250.0,2013,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
247,1350.0,2013,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
248,480.0,2014,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
249,480.0,2015,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
250,1600.0,2014,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
251,5800.0,2014,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,1
252,1000.0,2016,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
253,2000.0,2015,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
254,2880.0,2016,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
255,3343.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
256,10573.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
257,1853.0,2013,1,1,0,0,1,0,4,0,0,0,0,1,0,0,0,0
258,5939.0,2016,0,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
259,518.0,2016,1,0,0,1,0,1,4,0,0,0,0,0,1,0,0,1
260,3120.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
261,3120.0,2016,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,1
262,450.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
263,12900.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
264,12900.0,2016,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
265,450.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
266,1300.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
267,254.0,2012,1,0,0,1,0,1,4,0,0,0,1,0,1,0,0,1
268,1050.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
269,4500.0,2013,1,0,0,1,0,1,4,0,0,0,0,0,0,1,0,0
270,700.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,1
271,2712.0,2012,0,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
272,2712.0,2015,1,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
273,300.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
274,1120.0,2012,0,1,0,1,0,1,4,0,0,0,0,0,1,0,0,0
275,5598.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
276,4500.0,2016,0,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
277,2659.0,2016,0,1,0,1,0,1,4,0,0,0,0,1,0,1,0,0
278,450.0,2016,0,1,0,1,0,1,4,0,0,0,1,0,1,0,0,0
279,300.0,2016,0,1,0,1,0,1,4,0,0,0,1,0,1,0,0,0
280,500.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
281,1619.0,2016,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
282,826.0,2012,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
283,826.0,2016,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
284,1365.0,2014,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
285,184.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
286,970.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
287,686.0,2015,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
288,900.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
289,3508.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
290,2900.0,2012,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
291,2900.0,2013,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
292,6984.0,2016,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
293,2034.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
294,7223.0,2014,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
295,9400.0,2015,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
296,4286.0,2014,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
297,1700.0,2012,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
298,1500.0,2015,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
299,8400.0,2014,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
300,300.0,2013,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
301,4176.0,2012,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
302,4176.0,2013,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
303,3400.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
304,500.0,2013,0,0,0,1,0,1,4,0,0,0,0,1,1,0,0,1
305,500.0,2016,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
306,3501.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
307,1325.0,2013,1,1,0,0,1,0,4,0,0,0,0,1,0,0,0,0
308,1325.0,2014,1,1,0,0,1,0,4,0,0,0,0,1,0,0,0,1
309,9500.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
310,20.0,2013,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
311,20.0,2015,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
312,441.0,2016,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,0
313,1137.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
314,250.0,2015,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0
315,418.0,2014,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0
316,860.0,2016,1,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
317,500.0,2015,0,0,1,0,1,0,4,0,0,0,0,1,0,0,0,0
318,3873.0,2014,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
319,3708.0,2012,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
320,700.0,2013,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,1
321,7300.0,2013,1,0,0,0,1,0,4,0,0,0,0,1,0,0,0,1
322,1080.0,2015,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0
323,1446.0,2015,1,0,0,1,0,1,4,0,0,0,0,1,1,0,0,1
324,357.0,2014,1,1,1,0,1,0,4,0,0,0,0,1,0,0,0,0
325,2230.0,2016,1,0,0,1,0,1,4,0,0,0,0,1,0,1,0,0
